Species,Pose_#,Compound,mean h_bonds,mean_score,|mean_score|
D. tin,Pose 1,BTX,1,-8.11,8.11
D. tin,Pose 1,DHQ,0.2222222222,-5.55,5.55
D. tin,Pose 1,PIP,0.7777777778,-5.24,5.24
D. tin,Pose 1,PTX,0.1111111111,-5.88,5.88
D. tin,Pose 1,SPRO,0.5555555556,-6.06,6.06
D. tin,Pose 1,STX,3.666666667,-7.26,7.26
O. syl,Pose 1,BTX,1,-5.75,5.75
O. syl,Pose 1,DHQ,0.2222222222,-4.69,4.69
O. syl,Pose 1,PIP,0.2222222222,-4.37,4.37
O. syl,Pose 1,PTX,0.3333333333,-5.02,5.02
O. syl,Pose 1,SPRO,0.3333333333,-4.52,4.52
O. syl,Pose 1,STX,2.777777778,-6.94,6.94
A. fem,Pose 1,BTX,0.7777777778,-7.05,7.05
A. fem,Pose 1,DHQ,0.5555555556,-4.88,4.88
A. fem,Pose 1,PIP,1.555555556,-4.18,4.18
A. fem,Pose 1,PTX,0.2222222222,-4.83,4.83
A. fem,Pose 1,SPRO,0.1111111111,-4.82,4.82
A. fem,Pose 1,STX,3.444444444,-6.04,6.04
R. cat,Pose 1,BTX,0.3333333333,-7.66,7.66
R. cat,Pose 1,DHQ,0.4444444444,-5.75,5.75
R. cat,Pose 1,PIP,0.6666666667,-5.28,5.28
R. cat,Pose 1,PTX,0.2222222222,-5.68,5.68
R. cat,Pose 1,SPRO,0.5555555556,-5.67,5.67
R. cat,Pose 1,STX,2.333333333,-6.47,6.47
